timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731289777877,142,Homepage,200,OK,Users 1-1,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(iupgfp55lnxu5w45ga3pkg55))/default.aspx?AspxAutoDetectCookieSupport=1,27,0,20
1731289777877,27,Homepage-0,302,Redirect,Users 1-1,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,27,0,20
1731289777904,72,Homepage-1,302,Found,Users 1-1,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,72,0,64
1731289777976,19,Homepage-2,302,Found,Users 1-1,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,19,0,13
1731289777995,24,Homepage-3,200,OK,Users 1-1,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(iupgfp55lnxu5w45ga3pkg55))/default.aspx?AspxAutoDetectCookieSupport=1,20,0,0
1731289778879,110,Homepage,200,OK,Users 1-2,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(e2q4imyuhiojpv550arwoj55))/default.aspx?AspxAutoDetectCookieSupport=1,15,0,7
1731289778879,15,Homepage-0,302,Redirect,Users 1-2,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,15,0,7
1731289778895,48,Homepage-1,302,Found,Users 1-2,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,48,0,41
1731289778944,20,Homepage-2,302,Found,Users 1-2,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,20,0,14
1731289778964,25,Homepage-3,200,OK,Users 1-2,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(e2q4imyuhiojpv550arwoj55))/default.aspx?AspxAutoDetectCookieSupport=1,22,0,0
1731289779882,109,Homepage,200,OK,Users 1-3,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(dz0fftelytfwagjw0ndyh2qe))/default.aspx?AspxAutoDetectCookieSupport=1,14,0,8
1731289779882,14,Homepage-0,302,Redirect,Users 1-3,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,14,0,8
1731289779897,50,Homepage-1,302,Found,Users 1-3,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,49,0,43
1731289779947,19,Homepage-2,302,Found,Users 1-3,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,18,0,12
1731289779966,25,Homepage-3,200,OK,Users 1-3,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(dz0fftelytfwagjw0ndyh2qe))/default.aspx?AspxAutoDetectCookieSupport=1,21,0,0
1731289780909,110,Homepage,200,OK,Users 1-4,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(453pa4n5a0wtpfn0rwjs1s45))/default.aspx?AspxAutoDetectCookieSupport=1,16,0,7
1731289780909,16,Homepage-0,302,Redirect,Users 1-4,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,16,0,7
1731289780925,49,Homepage-1,302,Found,Users 1-4,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,49,0,42
1731289780975,19,Homepage-2,302,Found,Users 1-4,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,18,0,13
1731289780994,25,Homepage-3,200,OK,Users 1-4,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(453pa4n5a0wtpfn0rwjs1s45))/default.aspx?AspxAutoDetectCookieSupport=1,23,0,0
1731289781909,109,Homepage,200,OK,Users 1-5,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(y3lu2t555khn4nfmhestdo45))/default.aspx?AspxAutoDetectCookieSupport=1,15,0,8
1731289781909,15,Homepage-0,302,Redirect,Users 1-5,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,15,0,8
1731289781925,48,Homepage-1,302,Found,Users 1-5,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,48,0,41
1731289781973,21,Homepage-2,302,Found,Users 1-5,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,21,0,15
1731289781995,23,Homepage-3,200,OK,Users 1-5,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(y3lu2t555khn4nfmhestdo45))/default.aspx?AspxAutoDetectCookieSupport=1,20,0,0
1731289782875,119,Homepage,200,OK,Users 1-6,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(jweivuqzpyc41a55y2psad2m))/default.aspx?AspxAutoDetectCookieSupport=1,17,0,10
1731289782875,17,Homepage-0,302,Redirect,Users 1-6,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,17,0,10
1731289782892,57,Homepage-1,302,Found,Users 1-6,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,57,0,42
1731289782950,20,Homepage-2,302,Found,Users 1-6,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,20,0,15
1731289782970,24,Homepage-3,200,OK,Users 1-6,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(jweivuqzpyc41a55y2psad2m))/default.aspx?AspxAutoDetectCookieSupport=1,21,0,0
1731289783878,105,Homepage,200,OK,Users 1-7,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(gexirm55g0zeci552mi4hu31))/default.aspx?AspxAutoDetectCookieSupport=1,15,0,8
1731289783878,15,Homepage-0,302,Redirect,Users 1-7,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,15,0,8
1731289783894,38,Homepage-1,302,Found,Users 1-7,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,38,0,31
1731289783932,26,Homepage-2,302,Found,Users 1-7,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,26,0,16
1731289783958,25,Homepage-3,200,OK,Users 1-7,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(gexirm55g0zeci552mi4hu31))/default.aspx?AspxAutoDetectCookieSupport=1,21,0,0
1731289784885,109,Homepage,200,OK,Users 1-8,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(lnibv2ylqjki3zu5x0j1ck55))/default.aspx?AspxAutoDetectCookieSupport=1,14,0,8
1731289784885,14,Homepage-0,302,Redirect,Users 1-8,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,14,0,8
1731289784900,49,Homepage-1,302,Found,Users 1-8,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,49,0,41
1731289784950,19,Homepage-2,302,Found,Users 1-8,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,19,0,13
1731289784970,24,Homepage-3,200,OK,Users 1-8,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(lnibv2ylqjki3zu5x0j1ck55))/default.aspx?AspxAutoDetectCookieSupport=1,21,0,0
1731289785884,123,Homepage,200,OK,Users 1-9,text,true,,21909,614,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(l51fjz45drxowq45cgu0pq55))/default.aspx?AspxAutoDetectCookieSupport=1,15,0,9
1731289785884,16,Homepage-0,302,Redirect,Users 1-9,text,true,,406,124,2,2,http://www.saes.cecyt9.ipn.mx/,15,0,9
1731289785901,56,Homepage-1,302,Found,Users 1-9,text,true,,492,124,2,2,https://www.saes.cecyt9.ipn.mx/,55,0,47
1731289785957,25,Homepage-2,302,Found,Users 1-9,text,true,,510,166,2,2,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,25,0,16
1731289785983,24,Homepage-3,200,OK,Users 1-9,text,true,,20501,200,2,2,https://www.saes.cecyt9.ipn.mx/(X(1)S(l51fjz45drxowq45cgu0pq55))/default.aspx?AspxAutoDetectCookieSupport=1,21,0,0
1731289786883,126,Homepage,200,OK,Users 1-10,text,true,,21909,614,1,1,https://www.saes.cecyt9.ipn.mx/(X(1)S(qki32oyaknzgbvezkgd2tieu))/default.aspx?AspxAutoDetectCookieSupport=1,16,0,9
1731289786883,16,Homepage-0,302,Redirect,Users 1-10,text,true,,406,124,1,1,http://www.saes.cecyt9.ipn.mx/,16,0,9
1731289786900,62,Homepage-1,302,Found,Users 1-10,text,true,,492,124,1,1,https://www.saes.cecyt9.ipn.mx/,62,0,55
1731289786962,22,Homepage-2,302,Found,Users 1-10,text,true,,510,166,1,1,https://www.saes.cecyt9.ipn.mx/default.aspx?AspxAutoDetectCookieSupport=1,21,0,15
1731289786984,25,Homepage-3,200,OK,Users 1-10,text,true,,20501,200,1,1,https://www.saes.cecyt9.ipn.mx/(X(1)S(qki32oyaknzgbvezkgd2tieu))/default.aspx?AspxAutoDetectCookieSupport=1,21,0,0
